Date,Batch_ID,Species,Substrate_Weight_kg,Inoculation_Date,Temperature_C,Humidity_%,pH,Contamination,Yield_kg,Notes
2024-01-15,OYS001,Oyster,5.0,2024-01-15,22,85,6.8,None,1.2,Excellent growth
2024-01-20,SHI001,Shiitake,3.0,2024-01-20,18,80,6.5,None,0.6,Slow initial growth
2024-01-25,LM001,Lions_Mane,4.0,2024-01-25,20,90,6.7,None,0.8,Good formation
2024-02-01,OYS002,Oyster,5.0,2024-02-01,24,88,7.0,Slight_Trichoderma,0.9,Contamination detected day 5
2024-02-05,REI001,Reishi,2.0,2024-02-05,25,85,6.6,None,0.3,Long cultivation cycle
2024-02-10,SHI002,Shiitake,3.5,2024-02-10,19,82,6.4,None,0.7,Improved substrate mix
2024-02-15,OYS003,Oyster,6.0,2024-02-15,23,87,6.9,None,1.5,Excellent yield
2024-02-20,LM002,Lions_Mane,4.5,2024-02-20,21,92,6.8,None,0.9,Good spine development
2024-02-25,OYS004,Oyster,5.5,2024-02-25,22,86,7.1,None,1.3,Consistent results
2024-03-01,SHI003,Shiitake,4.0,2024-03-01,18,79,6.5,None,0.8,Optimal conditions
